,area_type,location,size,total_sqft,bath,price,bhk,price_per_sqft
8298,Super built-up  Area,Varthur Road,2 BHK,1050.0,2.0,42.7,2,4066.6666666666665
8299,Super built-up  Area,Varthur Road,2 BHK,1255.0,2.0,52.76,2,4203.98406374502
8301,Super built-up  Area,Varthur Road,2 BHK,1033.0,2.0,32.0,2,3097.773475314618
8302,Super built-up  Area,Varthur Road,2 BHK,1140.0,2.0,49.11,2,4307.894736842105
8303,Super built-up  Area,Varthur Road,2 BHK,850.0,2.0,25.4,2,2988.235294117647
8304,Built-up  Area,"Varthur Road,",2 BHK,1330.0,2.0,64.0,2,4812.0300751879695
8305,Super built-up  Area,Vasanth nagar,3 BHK,3025.0,3.0,500.0,3,16528.92561983471
8306,Super built-up  Area,Vasanth nagar,4 BHK,2328.0,4.0,528.0,4,22680.41237113402
8307,Super built-up  Area,Vasanth nagar,4 BHK,4750.0,6.0,1102.0,4,23200.0
8308,Plot  Area,Vasanth nagar,6 Bedroom,2295.0,3.0,650.0,6,28322.44008714597
8309,Super built-up  Area,Vasanth nagar,4 BHK,4750.0,6.0,948.0,4,19957.894736842107
8310,Built-up  Area,Vasantha Vallabha Nagar,3 Bedroom,1500.0,2.0,95.0,3,6333.333333333333
8311,Super built-up  Area,Vasantha Vallabha Nagar,3 BHK,1600.0,3.0,76.0,3,4750.0
8312,Built-up  Area,Vasantha Vallabha Nagar,2 BHK,900.0,1.0,44.0,2,4888.888888888889
8313,Built-up  Area,Vasanthapura,2 BHK,1022.0,2.0,40.0,2,3913.894324853229
8314,Super built-up  Area,Vasanthapura,2 BHK,1135.0,2.0,39.73,2,3500.440528634361
8315,Super built-up  Area,Vasanthapura,2 BHK,995.0,2.0,34.82,2,3499.497487437186
8316,Super built-up  Area,Vasanthapura,2 BHK,995.0,2.0,34.82,2,3499.497487437186
8317,Super built-up  Area,Vasanthapura,2 BHK,1037.0,2.0,36.28,2,3498.553519768563
8318,Super built-up  Area,Vasanthapura,2 BHK,978.0,2.0,34.22,2,3498.9775051124743
8319,Super built-up  Area,Vasanthapura,2 BHK,1037.0,2.0,36.28,2,3498.553519768563
8320,Plot  Area,Veer Sandra,4 Bedroom,3000.0,4.0,264.0,4,8800.0
8321,Super built-up  Area,Veerannapalya,2 BHK,950.0,2.0,45.0,2,4736.8421052631575
8322,Super built-up  Area,Veersandra,2 BHK,1250.0,2.0,55.0,2,4400.0
8323,Built-up  Area,Venkatadri Layout,1 BHK,595.0,1.0,42.0,1,7058.823529411765
8324,Built-up  Area,Venkatadri Layout,1 BHK,596.0,1.0,42.0,1,7046.979865771812
8325,Built-up  Area,Venkatapura,4 BHK,3080.0,2.0,285.0,4,9253.246753246753
8326,Built-up  Area,Venkatapura,3 Bedroom,5720.0,3.0,350.0,3,6118.881118881119
8327,Built-up  Area,Venkatapura,3 BHK,2700.0,2.0,260.0,3,9629.62962962963
8328,Super built-up  Area,Venugopal Reddy Layout,3 BHK,1545.0,3.0,85.0,3,5501.6181229773465
8329,Built-up  Area,Versova Layout,3 Bedroom,2020.0,3.0,270.0,3,13366.336633663366
8330,Built-up  Area,Vibuthipura,3 BHK,1603.0,2.0,125.0,3,7797.878976918279
8331,Super built-up  Area,Victoria Layout,3 BHK,1650.0,3.0,165.0,3,10000.0
8332,Super built-up  Area,Victoria Layout,2 BHK,1300.0,2.0,129.0,2,9923.076923076924
8333,Built-up  Area,Victoria Layout,2 BHK,850.0,2.0,72.0,2,8470.588235294117
8334,Super built-up  Area,Victoria Layout,2 BHK,1276.0,2.0,146.0,2,11442.006269592477
8335,Built-up  Area,Victoria Layout,2 BHK,1115.0,2.0,115.0,2,10313.90134529148
8336,Plot  Area,Vidyaranyapura,2 Bedroom,1440.0,2.0,95.0,2,6597.222222222223
8337,Super built-up  Area,Vidyaranyapura,2 BHK,1062.0,2.0,38.0,2,3578.154425612053
8338,Built-up  Area,Vidyaranyapura,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
8339,Plot  Area,Vidyaranyapura,4 Bedroom,1200.0,4.0,90.0,4,7500.0
8341,Built-up  Area,Vidyaranyapura,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
8342,Super built-up  Area,Vidyaranyapura,2 BHK,1100.0,2.0,54.0,2,4909.090909090909
8343,Built-up  Area,Vidyaranyapura,3 BHK,1440.0,2.0,70.0,3,4861.111111111111
8344,Super built-up  Area,Vidyaranyapura,2 BHK,1100.0,2.0,54.0,2,4909.090909090909
8345,Super built-up  Area,Vidyaranyapura,2 BHK,1000.0,2.0,35.0,2,3500.0
8347,Built-up  Area,Vidyaranyapura,2 BHK,1120.0,2.0,70.0,2,6250.0
8348,Built-up  Area,Vidyaranyapura,2 BHK,945.0,2.0,40.0,2,4232.804232804233
8349,Super built-up  Area,Vidyaranyapura,2 BHK,1100.0,2.0,54.0,2,4909.090909090909
8350,Super built-up  Area,Vidyaranyapura,3 BHK,1200.0,2.0,65.0,3,5416.666666666667
8351,Built-up  Area,Vidyaranyapura,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
8352,Built-up  Area,Vidyaranyapura,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
8353,Super built-up  Area,Vidyaranyapura,2 BHK,1188.0,2.0,50.0,2,4208.754208754209
8354,Super built-up  Area,Vidyaranyapura,3 BHK,1100.0,2.0,75.0,3,6818.181818181818
8355,Super built-up  Area,Vidyaranyapura,3 BHK,1100.0,2.0,72.0,3,6545.454545454545
8356,Built-up  Area,Vidyaranyapura,4 BHK,2400.0,5.0,135.0,4,5625.0
8357,Super built-up  Area,Vidyaranyapura,2 BHK,1100.0,2.0,41.0,2,3727.2727272727275
8358,Super built-up  Area,Vidyaranyapura,2 BHK,1200.0,2.0,60.5,2,5041.666666666667
8359,Super built-up  Area,Vidyaranyapura,2 BHK,1200.0,2.0,42.0,2,3500.0
8360,Built-up  Area,Vignana Nagar,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
8361,Super built-up  Area,Vignana Nagar,2 BHK,1100.0,2.0,47.0,2,4272.727272727273
8362,Super built-up  Area,Vignana Nagar,2 BHK,1110.0,2.0,58.0,2,5225.225225225226
8363,Super built-up  Area,Vignana Nagar,2 BHK,1000.0,2.0,35.0,2,3500.0
8364,Super built-up  Area,Vijaya Bank Layout,3 BHK,2400.0,2.0,150.0,3,6250.0
8365,Super built-up  Area,Vijaya Bank Layout,3 BHK,1374.0,2.0,70.0,3,5094.614264919942
8366,Built-up  Area,Vijaya Bank Layout,3 BHK,1605.0,2.0,85.0,3,5295.95015576324
8367,Super built-up  Area,Vijaya Bank Layout,3 BHK,1200.0,2.0,68.0,3,5666.666666666667
8368,Super built-up  Area,Vijaya Bank Layout,3 BHK,1700.0,2.0,68.5,3,4029.4117647058824
8369,Plot  Area,Vijaya Bank Layout,6 Bedroom,4000.0,6.0,460.0,6,11500.0
8370,Super built-up  Area,Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455.399061032864
8371,Super built-up  Area,Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673.564407656492
8373,Super built-up  Area,Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
8374,Built-up  Area,Vijayanagar,3 BHK,1580.0,2.0,134.0,3,8481.012658227848
8375,Super built-up  Area,Vijayanagar,3 BHK,1826.0,3.0,121.0,3,6626.506024096386
8376,Super built-up  Area,Vijayanagar,3 BHK,1739.0,3.0,116.0,3,6670.500287521564
8377,Super built-up  Area,Vijayanagar,3 BHK,1490.0,3.0,100.0,3,6711.4093959731545
8378,Super built-up  Area,Vijayanagar,2 BHK,1180.0,2.0,65.0,2,5508.474576271186
8379,Super built-up  Area,Vijayanagar,1 BHK,606.0,1.0,34.78,1,5739.273927392739
8380,Super built-up  Area,Vijayanagar,2 BHK,1352.0,2.0,68.0,2,5029.585798816568
8381,Super built-up  Area,Vijayanagar,3 BHK,1527.0,3.0,115.0,3,7531.106745252128
8382,Built-up  Area,Vijayanagar,2 BHK,989.0,2.0,60.0,2,6066.734074823054
8383,Super built-up  Area,Vijayanagar,3 BHK,1520.0,2.0,103.0,3,6776.315789473684
8384,Super built-up  Area,Vijayanagar,3 BHK,1749.0,3.0,117.0,3,6689.536878216123
8385,Super built-up  Area,Vijayanagar,2 BHK,1046.0,2.0,75.0,2,7170.172084130019
8386,Super built-up  Area,Vijayanagar,1 BHK,606.0,1.0,40.0,1,6600.660066006601
8387,Super built-up  Area,Vijayanagar,2 BHK,1200.0,2.0,62.0,2,5166.666666666667
8390,Super built-up  Area,Vijayanagar,3 BHK,1760.0,3.0,140.0,3,7954.545454545455
8391,Super built-up  Area,Vijayanagar,3 BHK,2047.0,3.0,136.0,3,6643.869076697606
8392,Super built-up  Area,Vijayanagar,3 BHK,1200.0,2.0,75.0,3,6250.0
8393,Super built-up  Area,Vijayanagar,2 BHK,1178.0,2.0,82.0,2,6960.950764006791
8394,Built-up  Area,Vijayanagar,2 BHK,864.0,2.0,45.0,2,5208.333333333333
8395,Plot  Area,Vijayanagar,4 Bedroom,2100.0,6.0,252.0,4,12000.0
8396,Super built-up  Area,Vijayanagar,2 BHK,920.0,2.0,60.0,2,6521.739130434783
8397,Super built-up  Area,Vijayanagar,2 BHK,1019.0,2.0,58.0,2,5691.854759568204
8398,Plot  Area,Vijayanagar,5 Bedroom,2400.0,6.0,125.0,5,5208.333333333333
8399,Super built-up  Area,Vijayanagar,2 BHK,1180.0,2.0,86.0,2,7288.135593220339
8400,Super built-up  Area,Vijayanagar,2 BHK,1046.0,2.0,49.06,2,4690.248565965583
8401,Built-up  Area,Vijayanagar,1 Bedroom,2400.0,2.0,230.0,1,9583.333333333334
8402,Super built-up  Area,Vijayanagar,1 BHK,492.0,1.0,40.0,1,8130.081300813008
8404,Super built-up  Area,Vijinapura,2 BHK,1290.0,2.0,71.95,2,5577.519379844961
8405,Super built-up  Area,Vimanapura,2 BHK,1275.0,2.0,47.0,2,3686.274509803922
8406,Built-up  Area,Vinayak Nagar,1 BHK,705.0,1.0,36.5,1,5177.304964539007
8407,Built-up  Area,Vinayak Nagar,3 BHK,1758.0,3.0,95.0,3,5403.86803185438
8408,Super built-up  Area,Vinayaka Nagar,2 BHK,1340.0,2.0,65.0,2,4850.746268656716
8409,Super built-up  Area,Vinayaka Nagar,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
8410,Super built-up  Area,Vinayaka Nagar,2 BHK,1145.0,2.0,51.0,2,4454.14847161572
8411,Super built-up  Area,Virat Nagar,2 BHK,1196.0,2.0,56.81,2,4750.0
8412,Super built-up  Area,Virat Nagar,2 BHK,1110.0,2.0,52.0,2,4684.684684684685
8413,Super built-up  Area,Virat Nagar,3 BHK,1215.0,2.0,49.75,3,4094.650205761317
8414,Super built-up  Area,Virupakshapura,2 BHK,1075.0,2.0,55.0,2,5116.279069767442
8415,Plot  Area,Vishveshwarya Layout,1 Bedroom,750.0,1.0,30.0,1,4000.0
8416,Built-up  Area,Vishveshwarya Layout,4 BHK,2000.0,4.0,75.0,4,3750.0
8417,Super built-up  Area,Vishveshwarya Layout,6 BHK,2100.0,6.0,92.0,6,4380.952380952381
8418,Plot  Area,Vishveshwarya Layout,4 Bedroom,2000.0,3.0,90.0,4,4500.0
8419,Super built-up  Area,Vishwanatha Nagenahalli,3 BHK,2159.0,3.0,110.0,3,5094.951366373321
8420,Built-up  Area,Vishwanatha Nagenahalli,3 BHK,2159.0,3.0,120.0,3,5558.12876331635
8421,Built-up  Area,Vishwanatha Nagenahalli,4 Bedroom,2200.0,3.0,115.0,4,5227.272727272727
8422,Super built-up  Area,Vishwanatha Nagenahalli,3 BHK,2159.0,3.0,120.0,3,5558.12876331635
8423,Super built-up  Area,Vishwapriya Layout,2 BHK,820.0,2.0,30.0,2,3658.5365853658536
8424,Super built-up  Area,Vishwapriya Layout,2 BHK,770.0,2.0,30.0,2,3896.103896103896
8425,Super built-up  Area,Vishwapriya Layout,2 BHK,910.0,2.0,36.0,2,3956.043956043956
8426,Super built-up  Area,Vishwapriya Layout,2 BHK,890.0,2.0,37.0,2,4157.303370786517
8427,Super built-up  Area,Vishwapriya Nagar,2 BHK,946.0,2.0,38.0,2,4016.913319238901
8428,Plot  Area,Vishwapriya Nagar,3 Bedroom,1200.0,3.0,80.0,3,6666.666666666667
8429,Super built-up  Area,Vittal Nagar,2 BHK,1100.0,2.0,49.0,2,4454.545454545455
8430,Super built-up  Area,Vittal Nagar,2 BHK,1000.0,2.0,45.0,2,4500.0
8431,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,71.0,2,5056.980056980057
8432,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.0,2,5377.2070626003215
8433,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,69.3,2,4935.897435897436
8434,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.3,2,5401.284109149277
8435,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,64.5,2,5176.565008025682
8436,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,64.5,2,5176.565008025682
8437,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,68.0,2,5457.463884430176
8439,Super built-up  Area,Vittasandra,2 BHK,1238.0,2.0,67.0,2,5411.954765751211
8440,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,75.0,2,5341.880341880342
8441,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,65.0,2,5216.69341894061
8442,Super built-up  Area,Vittasandra,2 BHK,1238.0,2.0,67.0,2,5411.954765751211
8443,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
8444,Super built-up  Area,Vittasandra,2 BHK,1259.0,2.0,67.4,2,5353.455123113583
8445,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,68.8,2,4900.284900284901
8446,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,62.3,2,5000.0
8447,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,63.0,2,5056.179775280899
8448,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
8449,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,65.4,2,5248.796147672553
8451,Super built-up  Area,Vittasandra,2 BHK,1238.0,2.0,67.32,2,5437.802907915992
8452,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
8454,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.3,2,5401.284109149277
8455,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,70.0,2,4985.754985754986
8456,Super built-up  Area,Vittasandra,2 BHK,1259.0,2.0,67.48,2,5359.809372517871
8457,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,75.0,2,5341.880341880342
8459,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.0,2,5377.2070626003215
8462,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,72.0,2,5128.205128205128
8463,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.5,2,5417.335473515249
8464,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.5,2,5417.335473515249
8465,Super built-up  Area,Vittasandra,2 BHK,1404.0,2.0,70.0,2,4985.754985754986
8466,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,65.0,2,5216.69341894061
8467,Super built-up  Area,Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
8469,Super built-up  Area,Vivek Nagar,8 BHK,3000.0,4.0,130.0,8,4333.333333333333
8470,Plot  Area,Vivek Nagar,2 Bedroom,1600.0,2.0,160.0,2,10000.0
8471,Super built-up  Area,Volagerekallahalli,2 BHK,1070.0,2.0,33.0,2,3084.11214953271
8472,Super built-up  Area,Volagerekallahalli,2 BHK,1070.0,2.0,33.15,2,3098.1308411214955
8473,Super built-up  Area,Volagerekallahalli,2 BHK,1067.0,2.0,33.99,2,3185.5670103092784
8474,Super built-up  Area,Volagerekallahalli,2 BHK,1070.0,2.0,32.99,2,3083.177570093458
8475,Super built-up  Area,Volagerekallahalli,2 BHK,1070.0,2.0,33.43,2,3124.299065420561
8476,Built-up  Area,Volagerekallahalli,2 BHK,1095.0,2.0,39.0,2,3561.6438356164385
8479,Built-up  Area,Whitefield,3 BHK,1610.0,3.0,81.0,3,5031.055900621118
8480,Super built-up  Area,Whitefield,2 BHK,1459.0,2.0,94.82,2,6498.971898560658
8485,Super built-up  Area,Whitefield,2 BHK,1280.0,2.0,75.0,2,5859.375
8487,Super built-up  Area,Whitefield,3 BHK,1910.0,3.0,161.0,3,8429.319371727748
8488,Super built-up  Area,Whitefield,4 BHK,3252.0,4.0,230.0,4,7072.570725707257
8489,Plot  Area,Whitefield,4 Bedroom,11890.0,4.0,700.0,4,5887.300252312868
8492,Super built-up  Area,Whitefield,2 BHK,1150.0,2.0,70.0,2,6086.95652173913
8493,Built-up  Area,Whitefield,3 BHK,1768.0,3.0,101.0,3,5712.669683257918
8495,Built-up  Area,Whitefield,4 Bedroom,4144.0,4.0,315.0,4,7601.351351351352
8496,Super built-up  Area,Whitefield,4 BHK,4104.0,4.0,360.0,4,8771.929824561403
8497,Super built-up  Area,Whitefield,3 BHK,1790.0,3.0,100.0,3,5586.592178770949
8498,Super built-up  Area,Whitefield,3 BHK,1720.0,3.0,100.0,3,5813.953488372093
8500,Super built-up  Area,Whitefield,3 BHK,1640.0,4.0,91.0,3,5548.780487804878
8503,Super built-up  Area,Whitefield,3 BHK,2280.0,4.0,126.0,3,5526.315789473684
8507,Built-up  Area,Whitefield,3 BHK,1897.0,3.0,130.0,3,6852.925672113864
8508,Super built-up  Area,Whitefield,3 BHK,2225.0,2.0,125.0,3,5617.9775280898875
8511,Super built-up  Area,Whitefield,4 BHK,2268.0,3.0,163.0,4,7186.94885361552
8514,Plot  Area,Whitefield,4 Bedroom,2400.0,4.0,200.0,4,8333.333333333334
8516,Super built-up  Area,Whitefield,2 BHK,1360.0,2.0,95.0,2,6985.294117647059
8518,Super built-up  Area,Whitefield,3 BHK,1697.0,3.0,94.79,3,5585.739540365351
8519,Plot  Area,Whitefield,4 Bedroom,5000.0,4.0,400.0,4,8000.0
8520,Plot  Area,Whitefield,4 Bedroom,3000.0,5.0,250.0,4,8333.333333333334
8521,Built-up  Area,Whitefield,3 BHK,1700.0,3.0,115.0,3,6764.705882352941
8524,Built-up  Area,Whitefield,3 Bedroom,2842.0,3.0,162.0,3,5700.2111189303305
8528,Plot  Area,Whitefield,3 Bedroom,1500.0,3.0,130.0,3,8666.666666666666
8529,Super built-up  Area,Whitefield,2 BHK,1280.0,2.0,75.0,2,5859.375
8531,Super built-up  Area,Whitefield,3 BHK,1405.0,2.0,78.0,3,5551.601423487545
8532,Super built-up  Area,Whitefield,3 BHK,2225.0,3.0,115.0,3,5168.539325842697
8533,Super built-up  Area,Whitefield,2 BHK,1272.0,2.0,95.05,2,7472.4842767295595
8536,Built-up  Area,Whitefield,2 BHK,1192.0,2.0,71.0,2,5956.375838926175
8540,Super built-up  Area,Whitefield,3 BHK,1626.0,3.0,89.0,3,5473.554735547355
8541,Super built-up  Area,Whitefield,3 BHK,1585.0,3.0,88.0,3,5552.05047318612
8543,Built-up  Area,Whitefield,2 BHK,1280.0,2.0,85.0,2,6640.625
8544,Plot  Area,Whitefield,3 Bedroom,1200.0,3.0,68.5,3,5708.333333333333
8545,Plot  Area,Whitefield,4 Bedroom,4000.0,4.0,330.0,4,8250.0
8546,Super built-up  Area,Whitefield,3 BHK,1697.0,3.0,108.0,3,6364.172068355922
8548,Super built-up  Area,Whitefield,4 BHK,3606.0,4.0,312.0,4,8652.246256239601
8549,Super built-up  Area,Whitefield,2 BHK,1485.0,2.0,90.0,2,6060.606060606061
8550,Super built-up  Area,Whitefield,1 BHK,950.0,1.0,50.0,1,5263.1578947368425
8551,Super built-up  Area,Whitefield,4 BHK,3584.0,4.0,199.0,4,5552.455357142857
8552,Super built-up  Area,Whitefield,1 BHK,825.0,1.0,45.0,1,5454.545454545455
8555,Super built-up  Area,Whitefield,3 BHK,1635.0,2.0,85.0,3,5198.7767584097855
8556,Super built-up  Area,Whitefield,2 BHK,1216.0,2.0,79.0,2,6496.710526315789
8562,Super built-up  Area,Whitefield,2 BHK,920.0,2.0,63.0,2,6847.826086956522
8564,Super built-up  Area,Whitefield,2 BHK,1170.0,2.0,71.0,2,6068.376068376068
8565,Super built-up  Area,Whitefield,2 BHK,1118.0,2.0,75.0,2,6708.4078711985685
8566,Super built-up  Area,Whitefield,3 BHK,1800.0,3.0,110.0,3,6111.111111111111
8567,Super built-up  Area,Whitefield,3 BHK,1562.0,3.0,103.0,3,6594.110115236876
8570,Super built-up  Area,Whitefield,3 BHK,2321.0,4.0,128.0,3,5514.864282636794
8571,Super built-up  Area,Whitefield,2 BHK,1320.0,2.0,95.0,2,7196.969696969697
8574,Plot  Area,Whitefield,3 Bedroom,3010.0,3.0,200.0,3,6644.518272425249
8575,Super built-up  Area,Whitefield,2 BHK,1346.0,2.0,96.17,2,7144.873699851411
8576,Super built-up  Area,Whitefield,3 BHK,3850.0,5.0,316.0,3,8207.792207792209
8580,Super built-up  Area,Whitefield,4 BHK,2500.0,4.0,155.0,4,6200.0
8581,Built-up  Area,Whitefield,1 BHK,905.0,1.0,55.0,1,6077.348066298343
8583,Super built-up  Area,Whitefield,4 BHK,2268.0,3.0,146.0,4,6437.389770723104
8586,Super built-up  Area,Whitefield,1 BHK,630.5,1.0,32.79,1,5200.634417129262
8587,Super built-up  Area,Whitefield,4 BHK,3537.0,5.0,210.0,4,5937.234944868533
8589,Super built-up  Area,Whitefield,3 BHK,1697.0,3.0,115.0,3,6776.664702416028
8593,Built-up  Area,Whitefield,5 Bedroom,3250.0,5.0,290.0,5,8923.076923076924
8597,Super built-up  Area,Whitefield,2 BHK,1269.0,2.0,75.0,2,5910.16548463357
8598,Plot  Area,Whitefield,5 Bedroom,3227.0,5.0,250.0,5,7747.133560582584
8599,Super built-up  Area,Whitefield,3 BHK,1545.0,3.0,79.0,3,5113.26860841424
8602,Super built-up  Area,Whitefield,4 BHK,3262.0,4.0,260.0,4,7970.570202329859
8604,Super built-up  Area,Whitefield,2 BHK,1132.0,2.0,79.28,2,7003.533568904593
8607,Super built-up  Area,Whitefield,4 BHK,2830.0,5.0,160.0,4,5653.7102473498235
8609,Super built-up  Area,Whitefield,2 BHK,1195.0,2.0,70.0,2,5857.740585774059
8610,Super built-up  Area,Whitefield,3 BHK,3480.0,4.0,284.0,3,8160.919540229885
8613,Super built-up  Area,Whitefield,1 BHK,709.0,1.0,34.385,1,4849.788434414669
8615,Super built-up  Area,Whitefield,2 BHK,1320.0,2.0,79.5,2,6022.727272727273
8616,Super built-up  Area,Whitefield,2 BHK,750.0,2.0,52.7,2,7026.666666666667
8617,Plot  Area,Whitefield,3 Bedroom,1200.0,3.0,61.96,3,5163.333333333333
8623,Plot  Area,Whitefield,4 Bedroom,3445.0,5.0,270.0,4,7837.44557329463
8624,Super built-up  Area,Whitefield,3 BHK,1700.0,3.0,140.0,3,8235.29411764706
8625,Built-up  Area,Whitefield,4 Bedroom,4827.0,4.0,400.0,4,8286.720530350114
8626,Super built-up  Area,Whitefield,2 BHK,1405.0,2.0,84.5,2,6014.234875444839
8628,Super built-up  Area,Whitefield,4 BHK,3252.0,4.0,280.0,4,8610.086100861008
8630,Super built-up  Area,Whitefield,2 BHK,1150.0,2.0,90.0,2,7826.086956521739
8631,Built-up  Area,Whitefield,4 BHK,2400.0,4.0,147.0,4,6125.0
8633,Built-up  Area,Whitefield,1 BHK,624.0,1.0,35.0,1,5608.974358974359
8636,Super built-up  Area,Whitefield,3 BHK,1700.0,3.0,95.0,3,5588.235294117647
8637,Plot  Area,Whitefield,4 Bedroom,4960.0,4.0,400.0,4,8064.5161290322585
8638,Built-up  Area,Whitefield,4 BHK,2928.0,4.0,198.0,4,6762.295081967213
8640,Super built-up  Area,Whitefield,3 BHK,2700.0,5.0,175.0,3,6481.481481481482
8641,Super built-up  Area,Whitefield,2 BHK,1216.0,2.0,84.0,2,6907.894736842105
8642,Super built-up  Area,Whitefield,4 BHK,2882.0,5.0,204.0,4,7078.417765440666
8643,Super built-up  Area,Whitefield,3 BHK,1840.0,3.0,140.0,3,7608.695652173913
8644,Super built-up  Area,Whitefield,3 BHK,1778.0,3.0,122.0,3,6861.6422947131605
8646,Super built-up  Area,Whitefield,1 BHK,650.0,1.0,25.0,1,3846.153846153846
8647,Super built-up  Area,Whitefield,4 BHK,2155.0,3.0,125.0,4,5800.46403712297
8648,Built-up  Area,Whitefield,1 RK,905.0,1.0,52.0,1,5745.85635359116
8653,Super built-up  Area,Whitefield,2 BHK,1216.0,2.0,75.0,2,6167.763157894737
8655,Super built-up  Area,Whitefield,2 BHK,1255.0,2.0,77.0,2,6135.4581673306775
8656,Super built-up  Area,Whitefield,2 BHK,1216.0,2.0,73.0,2,6003.289473684211
8657,Super built-up  Area,Whitefield,1 BHK,709.0,1.0,34.735,1,4899.153737658674
8661,Super built-up  Area,Whitefield,3 BHK,1745.0,3.0,100.0,3,5730.659025787965
8662,Built-up  Area,Whitefield,4 BHK,3200.0,4.0,224.0,4,7000.0
8664,Super built-up  Area,Whitefield,1 BHK,825.0,1.0,44.9,1,5442.424242424242
8668,Super built-up  Area,Whitefield,3 BHK,1870.0,3.0,138.0,3,7379.679144385027
8671,Super built-up  Area,Whitefield,3 BHK,1862.0,3.0,125.0,3,6713.211600429646
8672,Super built-up  Area,Whitefield,3 BHK,1655.0,3.0,113.0,3,6827.794561933535
8673,Super built-up  Area,Whitefield,1 BHK,530.0,1.0,29.44,1,5554.7169811320755
8675,Super built-up  Area,Whitefield,1 BHK,905.0,1.0,50.0,1,5524.861878453039
8676,Super built-up  Area,Whitefield,3 BHK,1600.0,3.0,82.0,3,5125.0
8677,Plot  Area,Whitefield,4 Bedroom,1230.0,4.0,80.0,4,6504.065040650406
8679,Super built-up  Area,Whitefield,1 BHK,630.5,1.0,32.15,1,5099.127676447264
8680,Built-up  Area,Whitefield,1 BHK,905.0,1.0,52.0,1,5745.85635359116
8684,Super built-up  Area,Whitefield,2 BHK,1216.0,2.0,83.0,2,6825.6578947368425
8690,Super built-up  Area,Whitefield,2 BHK,1216.0,2.0,75.0,2,6167.763157894737
8698,Super built-up  Area,Whitefield,4 BHK,2856.0,5.0,158.5,4,5549.7198879551825
8701,Super built-up  Area,Whitefield,1 BHK,750.0,1.0,51.0,1,6800.0
8704,Super built-up  Area,Whitefield,2 BHK,1173.0,2.0,77.0,2,6564.364876385337
8705,Plot  Area,Whitefield,3 Bedroom,1200.0,3.0,68.4,3,5700.000000000001
8709,Built-up  Area,Whitefield,4 Bedroom,3425.0,5.0,250.0,4,7299.270072992701
8714,Super built-up  Area,Whitefield,3 BHK,2173.0,3.0,128.0,3,5890.473999079613
8716,Super built-up  Area,Whitefield,1 BHK,905.0,1.0,62.0,1,6850.828729281768
8717,Super built-up  Area,Whitefield,3 BHK,1870.0,3.0,138.0,3,7379.679144385027
8718,Super built-up  Area,Whitefield,2 BHK,1320.0,2.0,99.26,2,7519.69696969697
8719,Super built-up  Area,Whitefield,3 BHK,2901.0,4.0,190.0,3,6549.465701482248
8720,Super built-up  Area,Whitefield,2 BHK,1485.0,2.0,96.51,2,6498.989898989899
8721,Super built-up  Area,Whitefield,3 BHK,1755.0,3.0,101.0,3,5754.985754985755
8723,Super built-up  Area,Whitefield,3 BHK,2225.0,3.0,149.0,3,6696.6292134831465
8724,Super built-up  Area,Whitefield,2 BHK,1250.0,2.0,82.0,2,6560.0
8725,Super built-up  Area,Whitefield,1 BHK,605.0,1.0,40.0,1,6611.570247933884
